Time,ID,Event name,Description,Section
"1 March 2023, 9:32 AM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"28 February 2023, 10:40 PM",167384,Course viewed,The user with id '167384' viewed the section number '1' of the course with id '39000'.,1
"28 February 2023, 10:39 PM",167384,Course viewed,The user with id '167384' viewed the course with id '39000'.,
"28 February 2023, 5:50 PM",172902,Course viewed,The user with id '172902' viewed the course with id '39000'.,
"28 February 2023, 5:02 PM",166543,Course viewed,The user with id '166543' viewed the section number '25' of the course with id '39000'.,25
"28 February 2023, 5:02 PM",166543,Course viewed,The user with id '166543' viewed the section number '25' of the course with id '39000'.,25
"28 February 2023, 5:02 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"28 February 2023, 5:02 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"28 February 2023, 5:01 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"28 February 2023, 5:01 PM",166543,Course viewed,The user with id '166543' viewed the section number '25' of the course with id '39000'.,25
"28 February 2023, 5:00 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"28 February 2023, 4:58 PM",143961,Course viewed,The user with id '143961' viewed the section number '25' of the course with id '39000'.,25
"28 February 2023, 4:57 PM",143961,Course viewed,The user with id '143961' viewed the section number '35' of the course with id '39000'.,35
"28 February 2023, 4:57 PM",143961,Course viewed,The user with id '143961' viewed the course with id '39000'.,
"28 February 2023, 1:49 PM",149578,Course viewed,The user with id '149578' viewed the course with id '39000'.,
"28 February 2023, 2:06 AM",160938,Course viewed,The user with id '160938' viewed the course with id '39000'.,
"27 February 2023, 9:10 PM",164746,Course viewed,The user with id '164746' viewed the section number '3' of the course with id '39000'.,3
"27 February 2023, 9:10 PM",164746,Course viewed,The user with id '164746' viewed the section number '3' of the course with id '39000'.,3
"27 February 2023, 9:10 PM",164746,Course viewed,The user with id '164746' viewed the section number '3' of the course with id '39000'.,3
"27 February 2023, 9:10 PM",164746,Course module viewed,The user with id '164746' viewed the 'resource' activity with course module id '2757435'.,
"27 February 2023, 9:10 PM",164746,Course viewed,The user with id '164746' viewed the course with id '39000'.,
"27 February 2023, 2:38 PM",166543,Course viewed,The user with id '166543' viewed the section number '24' of the course with id '39000'.,24
"27 February 2023, 2:38 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"27 February 2023, 11:22 AM",167364,Course viewed,The user with id '167364' viewed the section number '11' of the course with id '39000'.,11
"27 February 2023, 11:22 AM",167364,Course viewed,The user with id '167364' viewed the section number '4' of the course with id '39000'.,4
"27 February 2023, 11:22 AM",167364,Course viewed,The user with id '167364' viewed the section number '4' of the course with id '39000'.,4
"27 February 2023, 11:22 AM",167364,Course viewed,The user with id '167364' viewed the section number '4' of the course with id '39000'.,4
"27 February 2023, 11:22 AM",167364,Course module viewed,The user with id '167364' viewed the 'quiz' activity with course module id '2756850'.,
"27 February 2023, 11:22 AM",#VALUE!,Quiz attempt reviewed,The user with id '167364' has had their attempt with id '3002004' reviewed by the user with id '167364' for the quiz with course module id '2756850'.,
"27 February 2023, 11:22 AM", 167364 has,Quiz attempt summary viewed,The user with id '167364' has viewed the summary for the attempt with id '3002004' belonging to the user with id '167364' for the quiz with course module id '2756850'.,
"27 February 2023, 11:21 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '2' of the attempt with id '3002004' belonging to the user with id '167364' for the quiz with course module id '2756850'.,
"27 February 2023, 11:21 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '1' of the attempt with id '3002004' belonging to the user with id '167364' for the quiz with course module id '2756850'.,
"27 February 2023, 11:21 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '1' of the attempt with id '3002004' belonging to the user with id '167364' for the quiz with course module id '2756850'.,
"27 February 2023, 11:21 AM",167364,Course module viewed,The user with id '167364' viewed the 'quiz' activity with course module id '2756850'.,
"27 February 2023, 11:14 AM",167364,Course viewed,The user with id '167364' viewed the section number '4' of the course with id '39000'.,4
"27 February 2023, 11:14 AM",167364,Course viewed,The user with id '167364' viewed the section number '3' of the course with id '39000'.,3
"27 February 2023, 11:14 AM",167364,Course viewed,The user with id '167364' viewed the section number '3' of the course with id '39000'.,3
"27 February 2023, 11:14 AM",167364,Course viewed,The user with id '167364' viewed the section number '3' of the course with id '39000'.,3
"27 February 2023, 11:14 AM",167364,Course module viewed,The user with id '167364' viewed the 'quiz' activity with course module id '2754190'.,
"27 February 2023, 11:14 AM",#VALUE!,Quiz attempt reviewed,The user with id '167364' has had their attempt with id '3001977' reviewed by the user with id '167364' for the quiz with course module id '2754190'.,
"27 February 2023, 11:14 AM", 167364 has,Quiz attempt summary viewed,The user with id '167364' has viewed the summary for the attempt with id '3001977' belonging to the user with id '167364' for the quiz with course module id '2754190'.,
"27 February 2023, 11:14 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '3' of the attempt with id '3001977' belonging to the user with id '167364' for the quiz with course module id '2754190'.,
"27 February 2023, 11:14 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '3' of the attempt with id '3001977' belonging to the user with id '167364' for the quiz with course module id '2754190'.,
"27 February 2023, 11:13 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '2' of the attempt with id '3001977' belonging to the user with id '167364' for the quiz with course module id '2754190'.,
"27 February 2023, 11:13 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '2' of the attempt with id '3001977' belonging to the user with id '167364' for the quiz with course module id '2754190'.,
"27 February 2023, 11:13 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '2' of the attempt with id '3001977' belonging to the user with id '167364' for the quiz with course module id '2754190'.,
"27 February 2023, 11:13 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '1' of the attempt with id '3001977' belonging to the user with id '167364' for the quiz with course module id '2754190'.,
"27 February 2023, 11:13 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '1' of the attempt with id '3001977' belonging to the user with id '167364' for the quiz with course module id '2754190'.,
"27 February 2023, 11:13 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '1' of the attempt with id '3001977' belonging to the user with id '167364' for the quiz with course module id '2754190'.,
"27 February 2023, 11:13 AM", 167364 has,Quiz attempt viewed,The user with id '167364' has viewed page '1' of the attempt with id '3001977' belonging to the user with id '167364' for the quiz with course module id '2754190'.,
"27 February 2023, 11:13 AM",167364,Course module viewed,The user with id '167364' viewed the 'quiz' activity with course module id '2754190'.,
"27 February 2023, 10:57 AM",167364,Course viewed,The user with id '167364' viewed the section number '3' of the course with id '39000'.,3
"27 February 2023, 10:57 AM",167364,Course viewed,The user with id '167364' viewed the section number '2' of the course with id '39000'.,2
"27 February 2023, 10:56 AM",167364,Course viewed,The user with id '167364' viewed the section number '1' of the course with id '39000'.,1
"27 February 2023, 10:56 AM",167364,Course viewed,The user with id '167364' viewed the course with id '39000'.,
"27 February 2023, 10:56 AM",167364,Course module viewed,The user with id '167364' viewed the 'forum' activity with course module id '2832349'.,
"27 February 2023, 10:56 AM",167364,Course viewed,The user with id '167364' viewed the course with id '39000'.,
"27 February 2023, 9:18 AM",166543,Course viewed,The user with id '166543' viewed the section number '24' of the course with id '39000'.,24
"27 February 2023, 9:18 AM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"27 February 2023, 7:32 AM",154307,Course viewed,The user with id '154307' viewed the section number '35' of the course with id '39000'.,35
"27 February 2023, 7:32 AM",154307,Course viewed,The user with id '154307' viewed the section number '10' of the course with id '39000'.,10
"27 February 2023, 7:32 AM",154307,Course viewed,The user with id '154307' viewed the course with id '39000'.,
"26 February 2023, 7:25 PM",170375,Course viewed,The user with id '170375' viewed the section number '3' of the course with id '39000'.,3
"26 February 2023, 7:25 PM",170375,Course viewed,The user with id '170375' viewed the section number '2' of the course with id '39000'.,2
"26 February 2023, 7:25 PM",170375,Course viewed,The user with id '170375' viewed the section number '1' of the course with id '39000'.,1
"26 February 2023, 7:24 PM",170375,Course viewed,The user with id '170375' viewed the course with id '39000'.,
"26 February 2023, 5:38 PM",170474,Course viewed,The user with id '170474' viewed the course with id '39000'.,
"26 February 2023, 5:30 PM",154307,Course viewed,The user with id '154307' viewed the section number '10' of the course with id '39000'.,10
"26 February 2023, 5:30 PM",154307,Course viewed,The user with id '154307' viewed the course with id '39000'.,
"26 February 2023, 3:55 PM",167364,Course viewed,The user with id '167364' viewed the course with id '39000'.,
"25 February 2023, 4:43 PM",148379,Course viewed,The user with id '148379' viewed the course with id '39000'.,
"25 February 2023, 1:53 PM",169934,Course viewed,The user with id '169934' viewed the course with id '39000'.,
"25 February 2023, 1:12 PM",169344,Course viewed,The user with id '169344' viewed the course with id '39000'.,
"25 February 2023, 1:12 PM",169344,Course viewed,The user with id '169344' viewed the course with id '39000'.,
"25 February 2023, 12:03 PM",169419,Course module viewed,The user with id '169419' viewed the 'resource' activity with course module id '2754192'.,
"25 February 2023, 12:03 PM",169419,Course module viewed,The user with id '169419' viewed the 'resource' activity with course module id '2757435'.,
"25 February 2023, 12:03 PM",169419,Course module viewed,The user with id '169419' viewed the 'chat' activity with course module id '2836563'.,
"25 February 2023, 12:03 PM",169419,Course module viewed,The user with id '169419' viewed the 'forum' activity with course module id '2832349'.,
"25 February 2023, 12:03 PM",169419,Course viewed,The user with id '169419' viewed the course with id '39000'.,
"25 February 2023, 1:16 AM",154307,Course viewed,The user with id '154307' viewed the section number '10' of the course with id '39000'.,10
"25 February 2023, 1:16 AM",154307,Course viewed,The user with id '154307' viewed the course with id '39000'.,
"25 February 2023, 1:16 AM",154307,User profile viewed,The user with id '154307' viewed the profile for the user with id '154307' in the course with id '39000'.,
"24 February 2023, 6:44 PM",141324,Course viewed,The user with id '141324' viewed the course with id '39000'.,
"24 February 2023, 6:44 PM",141324,Course viewed,The user with id '141324' viewed the course with id '39000'.,
"24 February 2023, 5:22 PM",168913,Course viewed,The user with id '168913' viewed the course with id '39000'.,
"24 February 2023, 4:53 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '5' of the attempt with id '2998084' belonging to the user with id '166543' for the quiz with course module id '2831894'.,
"24 February 2023, 4:52 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '4' of the attempt with id '2998084' belonging to the user with id '166543' for the quiz with course module id '2831894'.,
"24 February 2023, 4:52 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '3' of the attempt with id '2998084' belonging to the user with id '166543' for the quiz with course module id '2831894'.,
"24 February 2023, 4:52 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '2' of the attempt with id '2998084' belonging to the user with id '166543' for the quiz with course module id '2831894'.,
"24 February 2023, 4:52 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '1' of the attempt with id '2998084' belonging to the user with id '166543' for the quiz with course module id '2831894'.,
"24 February 2023, 4:52 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '1' of the attempt with id '2998084' belonging to the user with id '166543' for the quiz with course module id '2831894'.,
"24 February 2023, 4:52 PM",#VALUE!,Quiz attempt preview started,The user with id '166543' has had their attempt with id '2998084' previewed by the user with id '166543' for the quiz with course module id '2831894'.,
"24 February 2023, 4:52 PM",166543,Course module viewed,The user with id '166543' viewed the 'quiz' activity with course module id '2831894'.,
"24 February 2023, 4:52 PM",166543,Course viewed,The user with id '166543' viewed the section number '24' of the course with id '39000'.,24
"24 February 2023, 4:52 PM",166543,Course viewed,The user with id '166543' viewed the section number '21' of the course with id '39000'.,21
"24 February 2023, 4:52 PM",166543,Course viewed,The user with id '166543' viewed the section number '21' of the course with id '39000'.,21
"24 February 2023, 4:52 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 4:52 PM", 166543 has,Quiz attempt summary viewed,The user with id '166543' has viewed the summary for the attempt with id '2998077' belonging to the user with id '166543' for the quiz with course module id '2831884'.,
"24 February 2023, 4:52 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '4' of the attempt with id '2998077' belonging to the user with id '166543' for the quiz with course module id '2831884'.,
"24 February 2023, 4:52 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '4' of the attempt with id '2998077' belonging to the user with id '166543' for the quiz with course module id '2831884'.,
"24 February 2023, 4:52 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '4' of the attempt with id '2998077' belonging to the user with id '166543' for the quiz with course module id '2831884'.,
"24 February 2023, 4:51 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '4' of the attempt with id '2998077' belonging to the user with id '166543' for the quiz with course module id '2831884'.,
"24 February 2023, 4:51 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '4' of the attempt with id '2998077' belonging to the user with id '166543' for the quiz with course module id '2831884'.,
"24 February 2023, 4:51 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '3' of the attempt with id '2998077' belonging to the user with id '166543' for the quiz with course module id '2831884'.,
"24 February 2023, 4:51 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '2' of the attempt with id '2998077' belonging to the user with id '166543' for the quiz with course module id '2831884'.,
"24 February 2023, 4:51 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '1' of the attempt with id '2998077' belonging to the user with id '166543' for the quiz with course module id '2831884'.,
"24 February 2023, 4:51 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '1' of the attempt with id '2998077' belonging to the user with id '166543' for the quiz with course module id '2831884'.,
"24 February 2023, 4:51 PM",#VALUE!,Quiz attempt preview started,The user with id '166543' has had their attempt with id '2998077' previewed by the user with id '166543' for the quiz with course module id '2831884'.,
"24 February 2023, 4:51 PM",166543,Course module viewed,The user with id '166543' viewed the 'quiz' activity with course module id '2831884'.,
"24 February 2023, 4:51 PM",166543,Course viewed,The user with id '166543' viewed the section number '21' of the course with id '39000'.,21
"24 February 2023, 4:51 PM",166543,Course viewed,The user with id '166543' viewed the section number '22' of the course with id '39000'.,22
"24 February 2023, 4:51 PM",166543,Course viewed,The user with id '166543' viewed the section number '22' of the course with id '39000'.,22
"24 February 2023, 4:51 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '4' of the attempt with id '2998076' belonging to the user with id '166543' for the quiz with course module id '2831897'.,
"24 February 2023, 4:51 PM",166543,Course viewed,The user with id '166543' viewed the section number '22' of the course with id '39000'.,22
"24 February 2023, 4:50 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '5' of the attempt with id '2998076' belonging to the user with id '166543' for the quiz with course module id '2831897'.,
"24 February 2023, 4:50 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '4' of the attempt with id '2998076' belonging to the user with id '166543' for the quiz with course module id '2831897'.,
"24 February 2023, 4:50 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '3' of the attempt with id '2998076' belonging to the user with id '166543' for the quiz with course module id '2831897'.,
"24 February 2023, 4:50 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '2' of the attempt with id '2998076' belonging to the user with id '166543' for the quiz with course module id '2831897'.,
"24 February 2023, 4:50 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '1' of the attempt with id '2998076' belonging to the user with id '166543' for the quiz with course module id '2831897'.,
"24 February 2023, 4:50 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '1' of the attempt with id '2998076' belonging to the user with id '166543' for the quiz with course module id '2831897'.,
"24 February 2023, 4:50 PM",#VALUE!,Quiz attempt preview started,The user with id '166543' has had their attempt with id '2998076' previewed by the user with id '166543' for the quiz with course module id '2831897'.,
"24 February 2023, 4:50 PM",166543,Course module viewed,The user with id '166543' viewed the 'quiz' activity with course module id '2831897'.,
"24 February 2023, 4:50 PM",166543,Course viewed,The user with id '166543' viewed the section number '22' of the course with id '39000'.,22
"24 February 2023, 4:50 PM",166543,Course viewed,The user with id '166543' viewed the section number '27' of the course with id '39000'.,27
"24 February 2023, 4:50 PM",166543,Course viewed,The user with id '166543' viewed the section number '27' of the course with id '39000'.,27
"24 February 2023, 4:50 PM",166543,Course viewed,The user with id '166543' viewed the section number '27' of the course with id '39000'.,27
"24 February 2023, 4:50 PM",166543,Question category viewed,The user with id '166543' viewed the question category with id '361051'.,
"24 February 2023, 4:50 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '5' of the attempt with id '2998061' belonging to the user with id '166543' for the quiz with course module id '2831890'.,
"24 February 2023, 4:50 PM", 166543 has,Quiz attempt summary viewed,The user with id '166543' has viewed the summary for the attempt with id '2998061' belonging to the user with id '166543' for the quiz with course module id '2831890'.,
"24 February 2023, 4:48 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '5' of the attempt with id '2998061' belonging to the user with id '166543' for the quiz with course module id '2831890'.,
"24 February 2023, 4:45 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '4' of the attempt with id '2998061' belonging to the user with id '166543' for the quiz with course module id '2831890'.,
"24 February 2023, 4:45 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '3' of the attempt with id '2998061' belonging to the user with id '166543' for the quiz with course module id '2831890'.,
"24 February 2023, 4:45 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '2' of the attempt with id '2998061' belonging to the user with id '166543' for the quiz with course module id '2831890'.,
"24 February 2023, 4:45 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '1' of the attempt with id '2998061' belonging to the user with id '166543' for the quiz with course module id '2831890'.,
"24 February 2023, 4:45 PM", 166543 has,Quiz attempt viewed,The user with id '166543' has viewed page '1' of the attempt with id '2998061' belonging to the user with id '166543' for the quiz with course module id '2831890'.,
"24 February 2023, 4:45 PM",#VALUE!,Quiz attempt preview started,The user with id '166543' has had their attempt with id '2998061' previewed by the user with id '166543' for the quiz with course module id '2831890'.,
"24 February 2023, 4:45 PM",166543,Course module viewed,The user with id '166543' viewed the 'quiz' activity with course module id '2831890'.,
"24 February 2023, 4:44 PM",166543,Course viewed,The user with id '166543' viewed the section number '27' of the course with id '39000'.,27
"24 February 2023, 4:44 PM",166543,Course viewed,The user with id '166543' viewed the section number '32' of the course with id '39000'.,32
"24 February 2023, 4:44 PM",166543,Course viewed,The user with id '166543' viewed the section number '32' of the course with id '39000'.,32
"24 February 2023, 4:44 PM",166543,Course viewed,The user with id '166543' viewed the section number '32' of the course with id '39000'.,32
"24 February 2023, 4:44 PM",166543,Question category viewed,The user with id '166543' viewed the question category with id '361051'.,
"24 February 2023, 4:44 PM",166543,Question category viewed,The user with id '166543' viewed the question category with id '361051'.,
"24 February 2023, 4:43 PM",166543,Question category viewed,The user with id '166543' viewed the question category with id '361051'.,
"24 February 2023, 4:40 PM",166543,Quiz edit page viewed,The user with id '166543' viewed the edit page for the quiz with course module id '2832342'.,
"24 February 2023, 4:40 PM",166543,Course module viewed,The user with id '166543' viewed the 'quiz' activity with course module id '2832342'.,
"24 February 2023, 4:40 PM",166543,Course viewed,The user with id '166543' viewed the section number '32' of the course with id '39000'.,32
"24 February 2023, 4:40 PM",166543,Course viewed,The user with id '166543' viewed the section number '23' of the course with id '39000'.,23
"24 February 2023, 4:40 PM",166543,Course viewed,The user with id '166543' viewed the section number '23' of the course with id '39000'.,23
"24 February 2023, 4:40 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 4:40 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 4:39 PM",166543,Course viewed,The user with id '166543' viewed the section number '23' of the course with id '39000'.,23
"24 February 2023, 4:39 PM",166543,Course viewed,The user with id '166543' viewed the section number '23' of the course with id '39000'.,23
"24 February 2023, 4:39 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 4:39 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 4:39 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 4:36 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 4:34 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 4:32 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 4:32 PM",144070,Course viewed,The user with id '144070' viewed the course with id '39000'.,
"24 February 2023, 4:24 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 4:24 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 4:23 PM",166543,Course viewed,The user with id '166543' viewed the section number '23' of the course with id '39000'.,23
"24 February 2023, 4:22 PM",166543,Course viewed,The user with id '166543' viewed the section number '11' of the course with id '39000'.,11
"24 February 2023, 4:22 PM",166543,Course viewed,The user with id '166543' viewed the section number '11' of the course with id '39000'.,11
"24 February 2023, 4:22 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 3:59 PM",157211,Course viewed,The user with id '157211' viewed the course with id '39000'.,
"24 February 2023, 3:37 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 3:12 PM",22085,Course viewed,The user with id '22085' viewed the course with id '39000'.,
"24 February 2023, 3:11 PM",166543,Course viewed,The user with id '166543' viewed the section number '11' of the course with id '39000'.,11
"24 February 2023, 3:11 PM",166543,Course viewed,The user with id '166543' viewed the course with id '39000'.,
"24 February 2023, 3:09 PM",22085,Course viewed,The user with id '22085' viewed the course with id '39000'.,
"24 February 2023, 2:06 PM",170251,Course viewed,The user with id '170251' viewed the course with id '39000'.,
"24 February 2023, 12:01 PM",170393,Course viewed,The user with id '170393' viewed the course with id '39000'.,
"24 February 2023, 12:01 PM",170393,Course viewed,The user with id '170393' viewed the course with id '39000'.,
"24 February 2023, 12:01 PM",170393,Course viewed,The user with id '170393' viewed the course with id '39000'.,
"24 February 2023, 11:07 AM",168272,Course viewed,The user with id '168272' viewed the course with id '39000'.,
"24 February 2023, 9:35 AM",156064,Course viewed,The user with id '156064' viewed the section number '17' of the course with id '39000'.,17
"24 February 2023, 9:34 AM",156064,Course viewed,The user with id '156064' viewed the section number '16' of the course with id '39000'.,16
"24 February 2023, 9:34 AM",156064,Course viewed,The user with id '156064' viewed the section number '15' of the course with id '39000'.,15
"24 February 2023, 9:34 AM",156064,Course viewed,The user with id '156064' viewed the section number '14' of the course with id '39000'.,14
"24 February 2023, 9:34 AM",156064,Course viewed,The user with id '156064' viewed the section number '13' of the course with id '39000'.,13
"24 February 2023, 9:34 AM",156064,Course viewed,The user with id '156064' viewed the section number '13' of the course with id '39000'.,13
"24 February 2023, 9:34 AM",156064,Course viewed,The user with id '156064' viewed the course with id '39000'.,
"24 February 2023, 9:34 AM",156064,Course viewed,The user with id '156064' viewed the section number '13' of the course with id '39000'.,13
"24 February 2023, 9:34 AM",156064,Course viewed,The user with id '156064' viewed the section number '13' of the course with id '39000'.,13
"24 February 2023, 9:34 AM",156064,Course viewed,The user with id '156064' viewed the course with id '39000'.,
"24 February 2023, 9:34 AM", 156064 has,Quiz attempt viewed,The user with id '156064' has viewed page '1' of the attempt with id '2997087' belonging to the user with id '156064' for the quiz with course module id '2831875'.,
"24 February 2023, 9:33 AM",156064,Course module viewed,The user with id '156064' viewed the 'quiz' activity with course module id '2831875'.,
